License ID,Brand Name,Product Type
"90039","CANDLELIT MEMORIES","Wine",
"90039","CANDONI","Wine",
"90039","CANNONBALL","Wine",
"90039","CANOE RIDGE VINEYARD","Wine",
"90039","CANPAGNE","Wine",
"90039","CANTI","Wine",
"90039","CANTINA TOLLO","Wine",
"90039","CANTINE LEONARDO DA VINCI","Wine",
"90039","CANYON ROAD","Wine",
"90039","CAPE AFRICA","Wine",
"90039","CAPE COLLECTION","Wine",
"90039","CAPE COUNTRY","Wine",
"90039","CAPE CREEK","Wine",
"90039","CAPE MENTELLE","Wine",
"90039","CAPELLO","Wine",
"90039","CAPESIDE CELLARS","Wine",
"90039","CAPO D'OPERA","Wine",
"90039","CAPOSALDO","Wine",
"90039","CARIGNAN","Wine",
"90039","CARLETTO","Wine",
"90039","CARLO ROSSI","Wine",
"90039","CARMEL","Wine",
"90039","CARNAVAL","Wine",
"90039","CARNEROS RIDGE","Wine",
"90039","CARNIVOR","Wine",
"90039","CARO","Wine",
"90039","CAROLINA","Wine",
"90039","CARPANO","Wine",
"90039","CARRUADES DE LAFITE","Wine",
"90039","CASA LA JOYA","Wine",
"90039","CASA SANGRIOSO","Wine",
"90039","CASA SANTOS LIMA","Wine",
"90039","CASA SILVA","Wine",
"90039","CASABLANCA","Wine",
"90039","CASALETTO","Wine",
"90039","CASALINGA","Wine",
"90039","CASANOVA DI NERI","Wine",
"90039","CASARENA","Wine",
"90039","CASARLEVA","Wine",
"90039","CASATO DEI MEDICI RICCARDI","Wine",
"90039","CASCADE RIDGE","Wine",
"90039","CASCINA BIANCA","Wine",
"90039","CASTANEDA","Wine",
"90039","CASTEL","Wine",
"90039","CASTEL FRERES","Wine",
"90039","CASTELLO D'ALBOLA","Wine",
"90039","CASTELLO DEL POGGIO","Wine",
"90039","CASTELLO DEL TERRICCIO","Wine",
"90039","CASTELLO DI ALBOLA","Wine",
"90039","CASTELLO DI BIBBIONE","Wine",
"90039","CASTELLO DI FONTERUTOLI","Wine",
"90039","CASTELLO DI GABBIANO","Wine",
"90039","CASTELLO DI MONASTERO","Wine",
"90039","CASTELLO DI VOLPAIA","Wine",
"90039","CASTELLO MONACI","Wine",
"90039","CASTELLORE","Wine",
"90039","CASTELNAU LE CHEMIN DU ROI","Wine",
"90039","CASTILLO","Wine",
"90039","CASTILLO DE LAS ZARZAS","Wine",
"90039","CASTILLO DE MONSERAN","Wine",
"90039","CASTLE ROCK","Wine",
"90039","CASTLERIDGE","Wine",
"90039","CASTOR & POLLUX","Wine",
"90039","CATACLYSM","Wine",
"90039","CATEDRAL","Wine",
"90039","CATHY","Wine",
"90039","CATTLEMEN RIDGE","Wine",
"90039","CAULDRON CO","Wine",
"90039","CAVA D'ONICE","Wine",
"90039","CAVALIERE D'ORO","Wine",
"90039","CAVE DE LUGNY","Wine",
"90039","CAVE DE SAINT DESIRAT","Wine",
"90039","CAVES DUPLESSIS","Wine",
"90039","CAVES VELHAS","Wine",
"90039","CAVICCHIOLI","Wine",
"90039","CAVIPOR","Wine",
"90039","CAVISTE","Wine",
"90039","CAVIT","Wine",
"90039","CAZADORES","Low Alcohol Beverage",
"90039","CECCHI","Wine",
"90039","CELISE WINERY","Wine",
"90039","CELL BLOCK","Wine",
"90039","CELLAR CRAFT","Wine",
"90039","CELLARS CREST","Wine",
"90039","CELLIER DU PONT D'ARC","Wine",
"90039","CELLIERS DU COLOMBIER","Wine",
"90039","CENTURY ROAD","Wine",
"90039","CEPA LEBREL","Wine",
"90039","CHACRA","Wine",
"90039","CHADDSFORD","Wine",
"90039","CHAIN OF PONDS","Wine",
"90039","CHAIS BAUMIERE","Wine",
"90039","CHAKANA","Wine",
"90039","CHALKBOARD","Wine",
"90039","CHALONE VINEYARD","Wine",
"90039","CHAMPAGNE DELBECK","Wine",
"90039","CHAMPS DE PROVENCE","Wine",
"90039","CHAMPS DE ROSE","Wine",
"90039","CHAMPY CA","Wine",
"90039","CHARDONNAY DE POTRERO","Wine",
"90039","CHARLES CELLAR","Wine",
"90039","CHARLES DU ROY","Wine",
"90039","CHARLES KRUG","Wine",
"90039","CHARLES LAFITTE","Wine",
"90039","CHARLES SHAW","Wine",
"90039","CHARLES SMITH WINES","Wine",
"90039","CHARLES WOODSON'S INTERCEPT","Wine",
"90039","CHASING RAIN","Wine",
"90039","CHATEAU AUSONE","Wine",
"90039","CHATEAU BARRAIL LAUSSAC","Wine",
"90039","CHATEAU BARREYRES","Wine",
"90039","CHATEAU BEAUREGARD","Wine",
"90039","CHATEAU BELLEGRAVE BOULDY","Wine",
"90039","CHATEAU BELLES EAUX","Wine",
"90039","CHATEAU BELLEVUE GUIGNARD","Wine",
"90039","CHATEAU BELLISLE MONDOTTE","Wine",
"90039","CHATEAU BEYCHEVELLE","Wine",
"90039","CHATEAU BONNET","Wine",
"90039","CHATEAU BRANAIRE DUCRU","Wine",
"90039","CHATEAU CALISSANNE","Wine",
"90039","CHATEAU CAMPOT LAFON","Wine",
"90039","CHATEAU CANON CLOS CANON","Wine",
"90039","CHATEAU CANTENAC BROWN","Wine",
"90039","CHATEAU CARDUS","Wine",
"90039","CHATEAU CAVALIER","Wine",
"90039","CHATEAU CERTAN DE MAY","Wine",
