License ID,Trade Name,Address,City,State,Zip Code,Report Type
X14111,Cain Cellars,3800 Langtry Rd,St Helena,CA,94574,Unlicensed Supplier
X15407,Cain Vineyard & Winery,3800 Langtry Road,Saint Helena,CA,94574,Unlicensed Supplier
X14184,Cairdean Vineyards,3125 Saint Helena Hwy N,Saint Helena,CA,94574,Unlicensed Supplier
X10543,Calamity Wine Works,PO Box 1028,St Helena,CA,94574,Unlicensed Supplier
X11551,Calcareous Vineyards,3430 Peachy Canyon Road,Paso Robles,CA,93446,Unlicensed Supplier
X02875,Caldwell,169 Kreuzer Lane,Napa,CA,94558,Unlicensed Supplier
X02260,Cale Family Wines,5230 Miller Bayou Dr,Sonoma,CA,34668,Unlicensed Supplier
X00012,Calera Wine Company,113000 Cienega Road,Hollister,CA,95023,Unlicensed Supplier
X11793,California Cellars,12885 Alcosta Blvd Suite A,San Ramon,CA,94583,Unlicensed Supplier
X00825,California Cider Co Inc,3100 Gravenstein Hwy N,Sebastopol,CA,95472,Unlicensed Supplier
X02355,California Int'l Marketing,401 7th Street,Petaluma,CA,94952,Unlicensed Supplier
X13538,California Natural Products,1250 E Lathrop Road,Lathrop,CA,95330,Unlicensed Supplier
X02552,California Wine Company,1700 Soscol Avenue #25,Napa,CA,94559,Unlicensed Supplier
X11467,California Wine Creations,PO Box 2337,Windsor,CA,95492,Unlicensed Supplier
X03431,California Wine Transport,660 Airpark Road,Napa,CA,94558,Unlicensed Supplier
X02771,Calita Corporation,55 Ridgeway Avenue Suite D,Santa Rosa,CA,95401,Unlicensed Supplier
X15667,Calla Lily Vineyards & Winery,6307 Pope Valley Rd,Pope Valley,CA,94567,Unlicensed Supplier
X15231,Calluna Vineyards,11450 Brooks Road,Windsor,CA,95492,Unlicensed Supplier
X14145,Calstar Cellars,2420 West Ave,Santa Rosa,CA,95407,Unlicensed Supplier
X12674,Cameron Hughes,444 De Haro St Ste 101,San Francisco,CA,94107,Unlicensed Supplier
X12402,Campion Wines,979 Osos Street #C 1,San Luis Obispo,CA,93401,Unlicensed Supplier
X13411,Canard Vineyard,1016 Dunaweal Lane,Calistoga,CA,94515,Unlicensed Supplier
X00260,Canard Winery,806 Augusta Drive,Moraga,CA,94556,Unlicensed Supplier
X01804,Canepa Cellars,511 Lovell Avenue,Mill Valley,CA,94941,Unlicensed Supplier
X14640,Canepa Koch Wine Cellars,4205 Quail Hollow Place,Castro Valley,CA,94546,Unlicensed Supplier
X11055,Cannonball Wine Comapny,1520 Withers Avenue,Monterey,CA,93940,Unlicensed Supplier
X03308,Caparone Winery,2280 San Marcos Road,Paso Robles,CA,93446,Unlicensed Supplier
X02601,Capello Winery Corporate,9701 Sedan Avenue,Manteca,CA,95337,Unlicensed Supplier
X03537,Capiaux Cellars,P O Box 963,Angwin,CA,94508,Unlicensed Supplier
X12182,Capture Wines,PO Box 1820,Healdsburg,CA,95448,Unlicensed Supplier
X13045,Caraccioli Cellars,P O Drawer J,Gonzales,CA,93926,Unlicensed Supplier
X12153,Carica Kick Ranch Vineyards,4903 Harville Road,Santa Rosa,CA,95494,Unlicensed Supplier
X10916,Carina Cellars,PO Box 644,Los Olives,CA,93441,Unlicensed Supplier
X14465,Carini Wines,342 Peanut Mill Camp,Hayfork,CA,96041,Unlicensed Supplier
X12605,Carlisle Winery & Vineyards,P O Box 556,Santa Rosa,CA,95402,Unlicensed Supplier
X02105,Carlton Distributing Co Inc,P O Box 67451,Los Angeles,CA,90067,Unlicensed Supplier
X11584,Carlton Stonehedge,1004 Clinton Street,Napa,CA,94559,Unlicensed Supplier
X03179,Carmody McKnight Estate Wines,11240 Chimney Rock Road,Paso Robles,CA,93446,Unlicensed Supplier
X00160,Carneros Creek Winery,1285 Dealy Lane,Napa,CA,94559,Unlicensed Supplier
X11499,Carneros Della Notte,1003 Dealy Lane,Napa,CA,94559,Unlicensed Supplier
X12713,Carneros Wine Company,1075 Buchli Station Road,Napa,CA,94559,Unlicensed Supplier
X03276,Carol Shelton Wines,P O Box 755,Windsor,CA,95492,Unlicensed Supplier
X02452,Cartlidge & Browne,P O Box 452,St Helena,CA,94574,Unlicensed Supplier
B00649,Casa Agria Specialty,701 Del Norte Blvd Unit 310,Oxnard,CA,93030,Unlicensed Supplier
X15265,Casa Dumetz,388 Bell Street,Los Alamos,CA,93440,Unlicensed Supplier
X16898,Casa Piena,PO Box 870,St Helena,CA,94574,Unlicensed Supplier
X11668,Casa Torelli Imports Inc,2932 Wilshire Blvd Ste 202,Santa Monica,CA,90403,Unlicensed Supplier
X13067,Casey Flat Estates LLC,P O Box 1274,Tiburon,CA,94920,Unlicensed Supplier
X10862,Cass Winery,7350 Linne RD,Paso Robles,CA,93446,Unlicensed Supplier
X02537,Castle Rock Winery,2717 Aviation Way,Santa Maria,CA,93455,Unlicensed Supplier
X02230,Castle Vineyards,1105 Castle Road,Sonoma,CA,95476,Unlicensed Supplier
X01738,Castoro Celllars,6465 Von Dollen Road,San Miguel,CA,93451,Unlicensed Supplier
X15966,Caterwaul Wines,PO Box 50,Rutherford,CA,94573,Unlicensed Supplier
X14469,Cattleya Wines,3354 Coffey Ln Ste A,Santa Rosa,CA,95403,Unlicensed Supplier
X00552,Caymus Vineyards,P O Box 268,Rutherford,CA,94573,Unlicensed Supplier
X12699,Ceaqo Winery,5115 E Hwy 20,Nice,CA,95464,Unlicensed Supplier
X12147,Cecchetti Racke Wine Cooperative,591 Broadway,Sonoma,CA,95476,Unlicensed Supplier
X00758,Cecchetti Sebastiani Cellar,P O Box 1607,Sonoma,CA,95476,Unlicensed Supplier
X10945,Cecchetti Wine Company,474 Pear Tree Court,Sonoma,CA,95476,Unlicensed Supplier
X12468,Cedar Knoll Vineyards Inc,4029 Hagen Road,Napa,CA,94558,Unlicensed Supplier
X02987,Cedarville Vineyards,P O Box 419,Fairplay,CA,95684,Unlicensed Supplier
X03119,Ceja Vineyards,P O Box 5957,Napa,CA,94581,Unlicensed Supplier
X01923,Celebrity Cellars,12001 South Highway 99,Manteca,CA,95336,Unlicensed Supplier
B00648,Cellador Ales LLC,16745 Schoenborn Street Unit B,North Hills,CA,91343,Unlicensed Supplier
X11577,Cellar Door Importing & Distributing,20580 Eighth St East,Sonoma,CA,95476,Unlicensed Supplier
X12694,Cellar Thief,770 Skyway Ct,Napa,CA,24558,Unlicensed Supplier
B00600,Cellermaker Brewing Co,1150 Howard St,San Francisco,CA,94103,Unlicensed Supplier
X14177,Center of Effort Wines,2199 Corbett Canyon Rd,Arroyo Grande,CA,23220,Unlicensed Supplier
B00525,Center of Effort Wines,2199 Corbett Canyon Road,Arroyo Grande,CA,93420,Unlicensed Supplier
X14669,Central Coast Group Project,65 Los Padres Way Unit 2,Buellton,CA,93427,Unlicensed Supplier
X03191,Central Coast Wine,Henry Wine Group,Benicia,CA,94510,Unlicensed Supplier
X14836,Central Coast Wine Services,2717 Aviation Way,Santa Maria,CA,93455,Unlicensed Supplier
X11627,Central Coast Wine Warehouse,PO Box 339,Los Olivos,CA,93441,Unlicensed Supplier
X14536,Ceritas Wines,1160 Hopper Ave,Santa Rosa,CA,95403,Unlicensed Supplier
X11703,Cerruiti Cellars Inc,130 Webster St Suite 205,Oakland,CA,94603,Unlicensed Supplier
X13234,Chacewater Inc,5625 Gaddy Lane,Kelseyville,CA,95451,Unlicensed Supplier
X13481,Chacewater Winery,Billet Transport 55 Mezzetta Ct,American Canyon,CA,94503,Unlicensed Supplier
X00729,Chalk Hill Estate Winery,10300 Chalk Hill Road,Healdsburg,CA,95448,Unlicensed Supplier
X00414,Chalone Vineyards,P O Box 855,Soledad,CA,93960,Unlicensed Supplier
X01963,Chameleon Cellars,1330 silvaner Avenue,St Helena,CA,94574,Unlicensed Supplier
X12001,Chamisal Vineyards,P O Box 2508,Yountville,CA,94599,Unlicensed Supplier
X01551,Champagne Deutz,453 Deutz Drive,Arroyo Grande,CA,93420,Unlicensed Supplier
X01896,Champarhone Inc,453 Deutz Drive,Arroyo Royal Grande,CA,93420,Unlicensed Supplier
X15164,Chandon,1 California Drive,Yountville,CA,94599,Unlicensed Supplier
X14647,Chanin Wine Company,300 N 12th St. Ste 1C,Lompoc,CA,93436,Unlicensed Supplier
X01884,Chaparral LLC,P O Box 969,St Helena,CA,94574,Unlicensed Supplier
X11039,Chapin Transfers,3215 Coffey Lane,Santa Rosa,CA,95403,Unlicensed Supplier
X00021,Chappellet Vineyards,Pritchard Hill,St Helena,CA,94574,Unlicensed Supplier
X10487,Charles Creek Cellars,19229 Sonoma Highway #266,Sonoma,CA,95476,Unlicensed Supplier
X00815,Charles Krug Winery,Hwy 29 PO Box 191,St Helena,CA,94574,Unlicensed Supplier
X15605,Charlie & Echo,8680 Miralani Drive # 113,San Diego,CA,92126,Unlicensed Supplier
X13787,Chase Cellars,2252 Sulphur Spring Ave,St Helena,CA,94574,Unlicensed Supplier
X00864,Chateau Julien,P O  Box 221775,Carmel,CA,93922,Unlicensed Supplier
X11480,Chateau Margene,4385 La Panza Road,Creston,CA,93432,Unlicensed Supplier
X00118,Chateau Montelena,1429 Tubbs Lane,Calistoga,CA,94515,Unlicensed Supplier
X01162,Chateau Potelle,3875 Mt Veeder Road,Napa,CA,94558,Unlicensed Supplier
X00206,Chateau St Jean,855 Sonoma Highway,Kenwood,CA,95452,Unlicensed Supplier
X15887,Chateau Tanunda Vintage Point,564 Gary Daly,Sonoma,CA,95476,Unlicensed Supplier
X15828,Checkerboard Vineyards,4331 Azalea Springs Way,Calistoga,CA,94515,Unlicensed Supplier
X10842,Chiarello Family Vineyards,574 Gateway Drive,Napa,CA,94558,Unlicensed Supplier
X03404,Chiles Winery & Vineyards,1048 Oakmont Ct,Napa,CA,94559,Unlicensed Supplier
X02188,Chimere Winery,217 N Russel,Santa Maria,CA,93456,Unlicensed Supplier
X00306,Chimney Rock,5350 Silverado Trail,Napa,CA,94558,Unlicensed Supplier
X16675,Choya Umeshu USA,533 Airport Blvd,Burlingame,CA,94010,Unlicensed Supplier
B00405,Chrissa Imports,280 Harbor Way,South San Francisco,CA,94083,Unlicensed Supplier
X01616,Christopher Creek Winery,641 Limerick Lane,Healdsburg,CA,95448,Unlicensed Supplier
X13419,Chronic Cellars,2020 Nacimiento Lake Drive,Paso Robles,CA,93446,Unlicensed Supplier
X13762,Ciatti,1101 5th Ave #170,San Rafael,CA,94901,Unlicensed Supplier
X13006,Cimarone Wine,1777 Fletcher Way,Santa Ynez,CA,93460,Unlicensed Supplier
X01429,Cinnabar Vineyards,P O Box 245,Saratoga,CA,95071,Unlicensed Supplier
X14169,Cirq Estate,6780 Depot St Suite 200,Sebastopol,CA,95472,Unlicensed Supplier
X01335,Civ USA,10419 Old Placerville Road #252,Sacramento,CA,95827,Unlicensed Supplier
X13266,Clara Street Company,PO Box 777,Pinole,CA,94564,Unlicensed Supplier
X10957,Clarets LLC,115 A West Micheltorena,Santa Barbara,CA,93101,Unlicensed Supplier
X02368,Clark Claudon Vineyards,P O Box 15,St Helena,CA,94575,Unlicensed Supplier
X13021,Clarksburg Wine Company,P O Box 123,Clarksburg,CA,95612,Unlicensed Supplier
X01419,Classic Wine Of CA,P O Box 429,Ceres,CA,95307,Unlicensed Supplier
X01701,Claudia Springs,P O Box 348,Philo,CA,95125,Unlicensed Supplier
X11428,Clawson Creek LLC,1113A York St,San Francisco,CA,94110,Unlicensed Supplier
X02356,Clayton Winery,17347 East Gawne Road,Collegeville,CA,95215,Unlicensed Supplier
X12027,Clendenen Lindquist Vintners,4665 Santa Maria Mesa Road,Santa Maria,CA,93454,Unlicensed Supplier
X11376,Clif Bar Family Winery & Farm LLC,1312 Vidovich Avenue,Saint Helena,CA,94574-2029,Unlicensed Supplier
X12435,Cliff Lede Vineyards,1473 Yountville Cross Road,Yountville,CA,94599,Unlicensed Supplier
X01037,Cline Cellars,24737 Arnold Street,Sonoma,CA,95476,Unlicensed Supplier
X14020,Cline Sisters Imports LLC,24737 Arnold Drive Suite 5,Sonoma,CA,95476,Unlicensed Supplier
X02689,Cloninger Cellars,1645 River Road,Salinas,CA,93908,Unlicensed Supplier
X00650,Clos Du Val Vineyards,5330 Silverado Trail,Napa,CA,94558,Unlicensed Supplier
X00222,Clos La Chance Wines Inc,1 Hummingbird Lane,San Martin,CA,95046,Unlicensed Supplier
X02673,Clos Mimi,773 Mutsuhito Avenue,San Luis Obispo,CA,93401,Unlicensed Supplier
X13536,Clos Pepe Vineyards,4777 E Hwy 246,Lompoc,CA,93436,Unlicensed Supplier
X13673,Clos Saron,9269 Collin House Drive,Organ House,CA,95962-1004,Unlicensed Supplier
X15981,Clos Solene Winery,2010 Niderer Road,Paso Robles,CA,93446,Unlicensed Supplier
X12108,Cloudbreak Amer Wine Dist,11818 Clark Street,Arcadia,CA,91006,Unlicensed Supplier
X03307,Coastal Brands,3000 Bowen Avenue,Graton,CA,95444,Unlicensed Supplier
X15523,Coastal Products,21481 8th Street E #20,Sonoma,CA,95476,Unlicensed Supplier
X10781,Coastal Wine Services,340 El Camino Real South Ste K,Salinas,CA,93901,Unlicensed Supplier
X01449,Codera Wine Group,9060 Graton Rd,Graton,CA,95444,Unlicensed Supplier
X01622,Codorniu Napa,1345 Henry Road,Napa,CA,94559-9703,Unlicensed Supplier
X12696,Coho,PO Box 5716,Napa,CA,94181,Unlicensed Supplier
X13500,Colgin Cellars,P O Box 254,Saint Helena,CA,94574,Unlicensed Supplier
X13489,Colgin Partners,PO Box 1842,Windsor,CA,95492,Unlicensed Supplier
X16462,Collegeville Vinters,17347 Gawne Rd,Stockton,CA,95215,Unlicensed Supplier
X14742,Compli Compliance,Spottswood Winery,Paso Robles,CA,93447,Unlicensed Supplier
X10473,Confluence Wine Importers LLC,P O Box 15307,Newport Beach,CA,92659,Unlicensed Supplier
X15264,Conquerel Family Wines,PO Box 493,Calistoga,CA,94515,Unlicensed Supplier
X01076,Consilience Wines,P O Box 529,Los Olivos,CA,93441,Unlicensed Supplier
X15260,Continental Vineyards,5625 Highway 46 E,Paso Robles,CA,93446,Unlicensed Supplier
X01745,Continuum,P O Box 112,Oakville,CA,94562,Unlicensed Supplier
X13679,Conway Family Wines,2705 & 2717 Aviation Way,Santa Maria,CA,93455,Unlicensed Supplier
X12286,Conway Vineyards,591 Hi Mountain Road,Arroyo Grande,CA,93420,Unlicensed Supplier
B00279,Coogee Imports,24 Topsail Street Suite 200,Marina Del Rey,CA,90292,Unlicensed Supplier
X15444,Cook's Flat Associates,PO Box 451,St Helen,CA,94574,Unlicensed Supplier
